diameter,depth,buffer_pressure,line_pressure,dynamic_height,annulus_pressure,water_cut,receive_pressure
146.80,2349.00,20.20,19.20,2332.00,20.50,67.00,22.00
146.80,2349.00,20.40,19.40,2342.00,20.00,67.00,25.00
146.80,2349.00,20.60,19.60,2344.00,21.10,49.00,24.00
146.80,2349.00,20.00,19.30,2320.00,20.80,40.00,24.00
146.80,2349.00,20.70,19.70,2339.00,21.20,37.00,24.00
146.80,2349.00,20.00,19.20,2340.00,20.80,35.00,23.00
146.80,2349.00,20.00,19.00,2326.00,20.20,31.00,24.00
146.80,2349.00,20.30,19.40,2347.00,21.00,30.00,24.00
146.80,2349.00,20.70,19.70,2348.00,21.10,30.00,25.00
146.80,2349.00,21.50,20.10,2320.00,23.40,33.00,26.00
146.80,2349.00,22.50,21.40,2278.00,23.00,37.00,27.00
146.80,2349.00,24.00,22.00,2249.00,23.00,37.00,27.00
146.80,2349.00,25.00,24.00,2248.00,25.00,38.00,27.00
146.80,2349.00,25.00,24.00,2226.00,25.00,40.00,28.00
146.80,2349.00,25.00,24.00,2217.00,25.10,40.00,31.00
146.80,2349.00,26.00,25.00,2304.00,26.40,40.00,32.00
146.80,2349.00,27.80,27.00,2192.00,28.70,51.00,33.00
146.80,2349.00,28.00,27.00,2196.00,28.00,78.00,31.00
146.80,2349.00,28.00,27.00,2052.00,29.10,61.00,
146.80,2652.00,28.00,27.00,2383.00,27.30,97.00,38.00
146.80,2652.00,1.00,0.10,2451.00,3.50,99.00,21.00
146.80,2652.00,1.00,0.10,2258.00,7.90,61.00,24.00
146.80,2311.00,19.00,18.00,2296.00,19.00,31.00,
146.80,2311.00,18.50,17.50,2285.00,19.20,31.00,
146.80,2311.00,18.60,17.60,2246.00,19.90,31.00,
146.80,2311.00,19.00,18.00,2284.00,20.00,31.00,
146.80,2311.00,19.00,18.00,2281.00,20.00,34.00,
146.80,2311.00,20.00,19.00,2280.00,20.00,32.00,
146.80,2311.00,19.00,18.00,2268.00,20.00,30.00,
146.80,2311.00,19.20,18.00,2252.00,19.40,32.00,
146.80,2311.00,19.00,18.00,2262.00,19.00,33.00,
146.80,2311.00,19.00,18.00,2278.00,18.40,32.00,
146.80,2311.00,20.20,18.80,2285.00,20.80,34.00,
146.80,2311.00,20.20,19.20,2264.00,20.80,32.00,
146.80,2311.00,20.40,19.40,2261.00,20.90,32.00,
146.80,2311.00,20.10,19.10,2263.00,21.50,32.00,
146.80,2311.00,20.20,19.40,2272.00,22.00,34.00,
146.80,2311.00,20.40,19.40,2247.00,21.40,35.00,
146.80,2311.00,20.50,19.60,2267.00,21.00,35.00,
146.80,2311.00,20.60,19.60,2275.00,21.20,33.00,
146.80,2311.00,20.70,19.70,2246.00,21.20,33.00,
146.80,2311.00,20.80,20.00,2231.00,21.00,35.00,
146.80,2311.00,20.20,19.20,2241.00,20.60,34.00,
146.80,2311.00,20.30,19.30,2246.00,20.80,29.00,
146.80,2311.00,21.00,19.70,2230.00,21.70,29.00,
146.80,2311.00,22.50,20.00,2223.00,22.80,30.00,
146.80,2311.00,23.00,21.40,2171.00,23.40,24.00,
146.80,2311.00,23.00,21.80,2261.00,24.00,31.00,34.00
146.80,2311.00,25.00,24.00,2260.00,25.20,28.00,34.00
146.80,2311.00,25.00,24.00,2248.00,25.40,30.00,31.00
146.80,2311.00,25.00,24.00,2271.00,25.90,28.00,32.00
146.80,2311.00,26.00,25.00,2299.00,27.50,30.00,29.00
146.80,2311.00,28.00,27.00,2262.00,29.90,36.00,35.00
146.80,2311.00,27.00,26.00,2198.00,30.00,29.00,35.00
146.80,2311.00,28.50,27.60,2230.00,28.40,25.00,35.00
146.80,2311.00,26.50,25.40,2255.00,27.30,30.00,32.00
146.80,2311.00,27.00,26.00,2164.00,27.20,36.00,39.00
146.80,2311.00,26.00,25.00,1720.00,16.60,66.00,66.00
146.80,2431.00,19.00,18.00,2418.00,19.00,72.84,
146.80,2427.00,18.50,17.50,2417.00,18.60,71.00,
146.80,2427.00,18.60,17.60,2420.00,19.40,69.00,
146.80,2427.00,19.00,18.00,2416.00,19.20,69.00,
146.80,2427.00,19.00,17.90,2421.00,19.50,68.00,
146.80,2427.00,19.70,19.00,2415.00,19.80,67.00,
146.80,2427.00,19.00,18.00,2410.00,19.00,66.00,
146.80,2427.00,19.20,18.00,2415.00,19.00,64.00,
146.80,2427.00,19.00,18.00,2425.00,19.00,64.00,
146.80,2427.00,19.00,18.00,2402.00,18.20,66.00,
146.80,2427.00,20.00,19.00,2335.00,21.00,65.00,
146.80,2427.00,20.40,19.40,2318.00,21.80,65.00,
146.80,2427.00,20.50,19.50,2406.00,21.00,64.00,
146.80,2427.00,20.10,19.10,2420.00,20.60,61.00,
146.80,2427.00,20.20,19.20,2423.00,22.50,57.00,
146.80,2427.00,20.40,19.40,2424.00,22.00,55.00,
146.80,2427.00,20.60,19.60,2421.00,21.10,55.00,
146.80,2427.00,20.00,19.30,2350.00,21.00,50.00,28.00
146.80,2427.00,19.90,18.90,2359.00,20.40,38.00,26.00
146.80,2427.00,20.50,19.60,2364.00,20.60,33.00,26.00
146.80,2427.00,20.20,19.20,2365.00,20.60,36.00,26.00
146.80,2427.00,20.40,19.40,2362.00,20.80,36.00,26.00
146.80,2427.00,20.70,19.70,2370.00,21.20,45.00,27.00
146.80,2427.00,22.00,20.10,2371.00,23.00,34.00,27.00
146.80,2427.00,22.40,21.40,2420.00,24.00,40.00,28.00
146.80,2427.00,25.00,22.00,2419.00,24.20,44.00,26.00
